Name,Gender,English,Kiswahili,Mathematics,Biology,Chemistry,Physics,Geography,CRE,Careers
Abdi,Male,6,6,9,7,11,7,12,9,Military and Security
Aara,Female,11,6,7,11,10,10,7,8,Computing
Aaren,Male,7,6,9,9,6,12,9,10,Agriculture
Aarika,Male,12,7,10,9,10,11,12,7,Computing
Abagael,Female,11,11,9,11,6,6,7,12,Art
Abagai,Male,7,9,8,6,7,10,7,7,Agriculture
Abagail,Male,6,10,8,6,11,12,8,9,Law and public policy
Abbe,Female,12,7,8,6,8,6,8,8,Agriculture
Abbey,Female,10,11,7,11,12,6,7,11,Engineering
Abbi,Female,8,12,9,6,11,12,6,8,Law and public policy
Abbie,Female,10,10,12,8,10,7,9,6,Agriculture
abbo,Female,11,10,6,10,10,9,9,9,Art
abbot,Male,9,9,11,7,7,7,9,9,Health and medicine
Abby,Male,10,11,7,8,11,7,11,9,Health and medicine
Abbye,Male,10,6,12,6,12,10,10,11,Art
Abdulla,Female,10,12,7,9,12,9,10,9,Business and management
abd,Female,9,9,8,9,6,8,10,8,Agriculture
Abe,Female,6,8,12,7,11,7,6,7,Computing
Abigael,Female,6,8,6,7,8,10,12,6,Agriculture
Abigail,Female,8,12,7,6,8,8,6,8,Law and public policy
Abigale,Male,8,12,9,7,7,7,12,6,Engineering
Abigayl,Female,9,9,11,9,11,11,6,12,Agriculture
ableso,Female,11,8,10,9,6,8,7,8,Law and public policy
abney-hasting,Male,6,6,6,9,11,8,7,11,Business and management
Abra,Male,10,8,8,12,8,11,10,8,Military and Security
Abra,Female,10,6,7,12,9,6,9,7,Business and management
abso,Male,10,6,12,8,6,6,12,9,Education
ab,Female,7,7,6,8,6,6,12,10,Computing
Ac,Male,11,6,12,7,11,10,7,7,Agriculture
ackerle,Female,10,8,10,10,8,11,11,10,Health and medicine
ackla,Male,11,7,10,11,6,8,7,8,Engineering
ackrig,Male,12,12,11,12,11,12,10,9,Health and medicine
ackroy,Female,7,6,8,6,6,6,6,10,Education
aclan,Female,10,9,6,12,7,8,9,7,Agriculture
Ada,Female,7,8,12,9,12,6,6,6,Computing
Adah,Male,11,8,11,6,11,7,7,6,Computing
adai,Male,12,7,7,8,8,10,7,9,Military and Security
Adaline,Female,7,8,11,7,6,7,6,11,Military and Security
ada,Male,12,12,11,9,7,7,10,9,Computing
adam,Female,7,12,8,10,12,8,6,9,Health and medicine
Adam,Female,7,11,9,12,9,8,6,6,Computing
adamthwait,Male,9,6,11,8,12,6,9,12,Business and management
Adan,Male,11,11,7,6,10,10,6,7,Art
Adara,Male,8,11,6,8,12,9,12,9,Computing
adb,Male,7,8,12,6,6,10,7,10,Law and public policy
Adda,Male,9,9,6,8,9,8,7,10,Communications
adde,Female,8,8,8,12,12,6,6,11,Agriculture
Addi,Female,11,12,12,12,8,7,11,8,Art
Addia,Female,10,6,6,11,6,8,8,9,Education
Addie,Male,10,8,9,8,10,8,12,6,Military and Security
addinso,Female,11,11,9,9,12,9,11,9,Business and management
addiso,Female,10,8,6,11,8,11,7,12,Art
add,Female,7,9,9,10,10,10,11,7,Communications
Addy,Male,10,10,9,11,7,6,7,9,Art
Addyso,Female,8,11,11,11,10,9,12,8,Agriculture
Adel,Female,8,12,9,9,10,11,8,6,Law and public policy
Adela,Female,11,12,8,7,12,11,8,7,Agriculture
Adelaida,Female,6,9,11,12,12,11,10,12,Military and Security
Adelaid,Female,11,7,11,8,11,9,9,7,Education
Adelaide,Male,10,8,8,12,11,11,7,9,Law and public policy
Adele,Male,7,12,6,11,7,10,12,7,Computing
Adelheid,Female,10,12,7,6,9,10,10,10,Communications
Adelice,Female,7,11,7,12,12,9,10,12,Engineering
Adelina,Male,12,11,12,11,9,6,12,6,Communications
Adelind,Male,7,10,7,10,6,7,7,11,Health and medicine
Adeline,Male,6,8,10,11,9,12,6,12,Health and medicine
Adella,Male,6,8,9,12,8,11,9,9,Engineering
Adelle,Male,9,12,12,10,9,9,8,10,Communications
Adena,Female,11,12,8,9,12,10,10,11,Computing
Adey,Female,8,10,11,9,8,11,10,12,Engineering
Adi,Female,8,8,11,6,7,9,11,8,Education
Adiana,Male,12,9,12,12,6,11,11,10,Art
adi,Male,10,12,12,10,7,11,8,11,Computing
Adina,Female,10,12,6,8,11,7,7,11,Art
adkin,Female,8,12,12,9,11,10,8,7,Communications
Adora,Female,11,11,6,7,7,8,11,11,Engineering
Adore,Female,6,8,11,6,11,9,12,12,Art
Adoree,Male,7,12,6,9,7,12,9,10,Engineering
Adorne,Female,8,8,7,11,7,12,9,10,Architecture & Construction Jobs
Adrea,Male,11,6,10,11,6,11,9,12,Agriculture
Adria,Female,11,11,10,9,9,11,11,9,Architecture & Construction Jobs
Adriaens,Male,9,9,8,7,8,9,10,12,Art
Adrian,Female,8,8,8,11,11,10,6,11,Agriculture
Adriana,Male,12,6,12,11,10,7,12,9,Communications
Adriane,Female,10,10,10,9,7,10,6,10,Agriculture
Adrianna,Female,10,6,10,6,8,9,10,6,Computing
Adrianne,Male,7,9,7,6,8,11,6,7,Health and medicine
Adriena,Female,12,11,11,10,11,9,12,7,Art
Adrienne,Male,7,12,7,11,8,12,12,10,Art
Aeriel,Female,10,10,11,12,9,8,9,8,Military and Security
Aeriela,Female,9,8,12,6,12,8,7,12,Business and management
Aeriell,Female,11,7,10,9,9,12,9,9,Business and management
aert,Female,8,7,8,6,9,12,11,12,Education
Afton,Female,8,12,7,11,11,10,11,6,Agriculture
Ag,Female,12,8,10,10,9,9,12,9,Architecture & Construction Jobs
Agace,Female,8,8,9,9,10,12,8,7,Computing
Agata,Male,12,11,11,6,8,11,7,9,Communications
Agatha,Female,12,7,6,12,10,10,6,10,Computing
Agathe,Female,12,7,10,12,12,10,10,6,Communications
Aggi,Female,11,11,12,12,9,9,8,10,Art
Aggie,Female,11,8,9,7,10,8,10,8,Architecture & Construction Jobs
Aggy,Female,12,9,8,6,10,12,6,11,Computing
Agna,Male,10,11,9,10,10,10,10,6,Military and Security
Agnella,Female,8,8,12,11,11,8,10,6,Computing
Agnes,Male,7,7,11,7,12,11,11,6,Agriculture
Agnese,Male,6,6,7,9,7,7,12,11,Education
Agnesse,Female,7,6,11,8,11,11,7,11,Health and medicine
Agneta,Female,10,7,11,11,9,12,12,8,Military and Security
agne,Male,6,11,7,11,7,9,11,12,Art
Agnola,Female,12,6,7,7,11,12,7,8,Business and management
Agretha,Male,7,9,7,8,11,11,11,11,Military and Security
Aguirr,Female,10,12,8,10,9,9,6,7,Business and management
Agusti,Female,10,10,10,8,12,9,8,10,Communications
aher,Male,7,6,10,7,7,7,6,12,Art
ahlber,Male,6,9,6,8,11,6,10,12,Education
Ahma,Female,8,7,9,12,8,9,6,6,Communications
Ahme,Male,10,7,8,11,9,10,7,11,Architecture & Construction Jobs
A,Female,11,10,8,7,6,8,7,12,Communications
Aida,Male,7,12,6,7,9,9,7,7,Military and Security
Aida,Male,10,11,11,6,10,9,6,9,Business and management
Aidan,Female,10,11,7,12,12,9,12,7,Military and Security
Aigneis,Male,9,6,12,12,7,6,6,7,Architecture & Construction Jobs
aikenhea,Male,8,10,9,12,10,10,7,9,Agriculture
aiki,Male,6,10,11,9,7,11,12,9,Law and public policy
aikma,Female,9,10,12,10,12,6,6,12,Education
Aila,Female,9,11,7,10,8,12,6,10,Communications
